date,open,high,low,close,volume,vwap,year,month,day,weekday,is_month_start,is_month_end,high_low_range,average_price,volume_change,close_lag_1,close_lag_2,return,return_lag_1,rolling_mean_7,rolling_std_7,rolling_mean_30,rolling_std_30,ma14,ma30,ma50,ma200,rsi14,rsi30,rsi50,roc14,vol14,up_day,down_day
2024-09-12,218.7,220.97,215.625,218.94,4739645.0,218.807,2024,9,12,3,0,0,5.344999999999999,218.55874999999997,-0.2732112911555763,219.91,210.15,-0.004410895366286249,0.0464430168926957,212.59142857142857,5.760420784893771,219.3646666666667,10.742919314707175,1.0031776481488732,1.0019396486099694,1.0499579793550744,0.992116641545629,48.08266801602344,47.419856815223014,48.39842451846633,-0.03677958644962609,0.03137170036439652,1,0
2024-09-13,220.85,223.45,220.32,222.85,5267972.0,222.2969,2024,9,13,4,0,0,3.1299999999999955,221.86749999999998,0.11146974087721762,218.94,219.91,0.017858774093358898,-0.004410895366286249,213.8271428571429,6.964870695821496,219.51233333333332,10.75991945981097,0.9821981473765186,0.9850228105601675,1.028717074265201,0.9758600000000001,50.9389254795177,48.79139200011444,49.27508605269301,-0.04516046103089244,0.030822486022463163,1,0
2024-09-16,219.67,221.0,217.04,219.88,2469826.0,218.9214,2024,9,16,0,0,0,3.960000000000008,219.39749999999998,-0.5311618968362019,222.85,218.94,-0.013327350235584512,0.017858774093358898,214.80285714285714,7.307821641422762,219.94799999999998,10.489061428706664,0.9929799371085527,1.0003092595961434,1.039439694378752,0.9901625932326722,48.74520513063584,47.81140648332785,48.63466072896359,-0.03362193996396079,0.030324721040816186,1,0
2024-09-17,222.65,223.17,218.23,220.15,2304065.0,220.6388,2024,9,17,1,0,0,4.939999999999998,221.04999999999998,-0.06711444449932913,219.88,222.85,0.0012279425140986344,-0.013327350235584512,217.12000000000003,5.674715851916378,220.51433333333335,9.998575306558873,0.9885500146004348,1.0016549322431676,1.0345818759936405,0.9900322552804905,48.96039942357242,47.9097992226506,48.696514931513754,-0.04303412301673548,0.030111468067529644,0,1
2024-09-18,221.18,224.21,217.5,217.72,4671939.0,220.2383,2024,9,18,2,0,0,6.710000000000008,220.1525,1.0276940971717377,220.15,219.88,-0.011037928684987541,0.0012279425140986344,218.51428571428573,4.001261705773192,220.93833333333333,9.578881614704033,0.9968996876722397,1.014781982975075,1.0422937718170127,1.0021500895645783,47.04594242781022,47.08334176144944,48.163871138244254,-0.036210712704736636,0.02989458737193069,0,1
2024-09-19,225.97,230.06,224.16,226.99,4624651.0,227.197,2024,9,19,3,0,0,5.900000000000006,226.795,-0.010121707496609011,217.72,220.15,0.04257762263457665,-0.011037928684987541,220.92000000000002,3.093670958585124,221.86166666666668,8.716394020043648,0.9567350355270527,0.9774072279248719,0.9963355213886074,0.962434325300674,54.37519703898785,50.45608436676753,50.28081983499908,0.00772475027746955,0.03219596946396356,1,0
2024-09-20,224.71,225.57,220.44,223.67,4550812.0,222.989,2024,9,20,4,0,0,5.1299999999999955,223.5975,-0.015966394004650275,226.99,217.72,-0.014626194986563368,0.04257762263457665,221.45714285714286,3.2131900778173303,222.216,8.560075571694,0.9685506070805844,0.9934993517235213,1.0081656011087763,0.9779176957124335,51.61958479646974,49.29209327470581,49.541421430052615,-0.0323180756251622,0.03158841038105866,0,1
2024-09-23,224.75,225.55,222.95,224.54,2454242.0,224.2003,2024,9,23,0,0,0,2.6000000000000227,224.4475,-0.46070239772594435,223.67,226.99,0.003889658872445967,-0.014626194986563368,222.25714285714284,3.1789815679738505,222.64133333333336,8.337773511342558,0.9683098143506089,0.9915441940559961,1.0011107152400462,0.9753625968647012,52.30174380078605,49.60723703235777,49.739055537867124,0.05170960187353635,0.02321045896821334,0,1
2024-09-24,226.55,228.63,223.97,227.26,4314726.0,227.0119,2024,9,24,1,0,0,4.659999999999997,226.6025,0.7580686827134406,224.54,223.67,0.012113654582702305,0.003889658872445967,222.88714285714283,3.708870961561994,223.11666666666667,8.174042317978337,0.9608252347845766,0.9817683123588254,0.9862316289712223,0.9649907638827775,54.4635156517733,50.60019568160245,50.3593359172479,0.06097105508870215,0.02331342056014236,1,0
2024-09-25,225.98,229.77,225.85,228.27,2191237.0,227.9967,2024,9,25,2,0,0,3.920000000000016,227.4675,-0.4921492117923595,227.26,224.54,0.004444248877937262,0.012113654582702305,224.08571428571426,3.924507855101902,223.33733333333333,8.222297243108624,0.9613365125258936,0.9783910865787591,0.9789310903754326,0.961940688658168,55.274109869177806,50.97129413883333,50.59038024154974,0.07143862942971135,0.023141170262630628,1,0
