date,open,high,low,close,volume,vwap,ma14,ma30,ma50,ma200,rsi14,rsi30,rsi50,roc14,vol14
2023-11-27,84.49,84.78,83.84,84.63,12250905.0,84.3266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-28,84.8,85.43,84.49,84.65,14460898.0,84.9174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-29,85.18,85.285,83.745,84.02,22633990.0,84.3792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-30,84.74,85.79,83.57,84.58,29182290.0,84.5908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,84.48,86.025,84.1,85.02,21523970.0,85.2969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-04,84.4,85.16,84.01,84.63,18535141.0,84.6399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-05,84.58,84.74,83.1,83.15,18873576.0,83.7648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-06,82.61,83.19,81.59,81.91,31153298.0,82.2218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-07,82.29,82.695,81.055,81.35,20454412.0,81.6235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-08,81.89,82.48,81.725,82.23,17063628.0,82.1051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-11,82.3,82.6,81.92,82.33,14672064.0,82.3228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-12,81.57,81.66,80.74,81.2,22693343.0,81.2312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-13,81.25,82.355,80.87,82.33,23222819.0,81.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-14,83.16,84.86,83.16,84.75,30358689.0,84.3391,0.9833796881584491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-15,83.99,84.46,83.6,84.3,23183183.0,84.0735,0.9883494322996104,0.0,0.0,0.0,53.94896155277827,0.0,0.0,-0.0038993264799715988,0.01275535010491061
2023-12-18,84.98,85.41,84.1,84.18,21223566.0,84.706,0.98935953568883,0.0,0.0,0.0,53.101495502343795,0.0,0.0,-0.005552274069698715,0.012758656836829047
2023-12-19,84.34,85.28,84.15,85.19,18431226.0,84.8489,0.9786108362819245,0.0,0.0,0.0,58.94684602338299,0.0,0.0,0.013925255891454436,0.012980134941082369
2023-12-20,85.49,85.99,84.3,84.4,19909087.0,85.294,0.9876184834123223,0.0,0.0,0.0,53.34611445574103,0.0,0.0,-0.0021281626862141856,0.01314915368844369
2023-12-21,84.57,84.86,83.935,84.73,13031439.0,84.4663,0.9835275075449745,0.0,0.0,0.0,55.25846117143152,0.0,0.0,-0.0034109621265583367,0.01311376866176098
2023-12-22,85.34,85.715,84.845,84.98,12519124.0,85.2596,0.980928285647043,0.0,0.0,0.0,56.70628080874142,0.0,0.0,0.00413564929693977,0.013072899771965121
2023-12-26,85.7,86.165,85.44,85.71,12991727.0,85.8638,0.9747070686867676,0.0,0.0,0.0,60.70489526090107,0.0,0.0,0.030787733012627605,0.012157947236916888
2023-12-27,85.71,86.0,85.02,85.33,10119096.0,85.4259,0.9819105657029014,0.0,0.0,0.0,57.71655231626416,0.0,0.0,0.04175314369429861,0.011314220500311674
2023-12-28,84.89,85.215,84.0,84.03,13099049.0,84.5136,0.9993794733173527,0.0,0.0,0.0,48.85585711098752,0.0,0.0,0.03294406883835288,0.012072261076373278
2023-12-29,84.32,84.4,83.59,83.84,12172730.0,83.8614,1.0030159487459105,0.0,0.0,0.0,47.70317478917941,0.0,0.0,0.01957922899185216,0.01187395203716266
2024-01-02,84.43,85.52,84.31,84.74,19650895.0,84.8977,0.9943946188340808,0.0,0.0,0.0,53.32122986765707,0.0,0.0,0.02927244017976438,0.012129242667444263
2024-01-03,84.87,86.425,84.44,86.12,18967999.0,85.7691,0.9825409727290821,0.0,0.0,0.0,60.3540671471286,0.0,0.0,0.06059113300492602,0.011757603800221367
2024-01-04,86.74,87.11,84.56,84.61,21024516.0,85.4455,1.0020007766728014,0.0,0.0,0.0,51.25441146606119,0.0,0.0,0.027693428883760474,0.012737339544573595
2024-01-05,85.42,85.46,84.2882,84.68,17014649.0,84.788,1.0011134354544842,0.0,0.0,0.0,51.61858032202021,0.0,0.0,-0.0008259587020648107,0.010012992433139325
2024-01-08,83.24,83.8,82.1025,83.7,23609342.0,83.001,1.0123229220003414,0.0,0.0,0.0,46.393020200844276,0.0,0.0,-0.007117437722419906,0.01040030778468346
2024-01-09,83.81,83.9,82.175,82.36,16875228.0,82.5708,1.0272150142232706,1.0197830662133722,0.0,0.0,40.374407937643724,0.0,0.0,-0.021620337372297516,0.01120382137571341
2024-01-10,82.52,82.5505,81.22,81.55,16579879.0,81.6239,1.0342296575282472,1.0286531780094013,0.0,0.0,37.230248514685066,41.19483443844582,0.0,-0.042728019720624455,0.01068782029130436
2024-01-11,81.99,82.2,81.43,81.76,19294285.0,81.797,1.0292668437237908,1.0248328440965426,0.0,0.0,38.566001440905566,42.00916032423976,0.0,-0.03127962085308056,0.010627002999753226
2024-01-12,83.02,83.345,82.18,82.68,19384595.0,82.5417,1.0160429193448062,1.012889050153201,0.0,0.0,44.17115581086884,45.433676679902014,0.0,-0.02419450017703284,0.01112217209503703
2024-01-16,82.5,82.61,80.66,80.71,18015626.0,81.2229,1.0370639148981364,1.036013711642506,0.0,0.0,36.49307999771231,40.177987400220765,0.0,-0.05024711696869866,0.012481994942029714
2024-01-17,79.88,80.84,79.7,80.04,19642135.0,80.1669,1.0406850146355393,1.0426120273196733,0.0,0.0,34.30878055677847,38.60673238508465,0.0,-0.06615330766538308,0.012020558186242165
2024-01-18,80.06,80.13,78.9823,79.91,17852797.0,79.6267,1.037533296387007,1.0423392983773412,0.0,0.0,33.88497942255428,38.306043343502566,0.0,-0.06351810617602249,0.012050730017101502
2024-01-19,79.87,80.18,79.59,80.17,19970105.0,79.9099,1.0307293430032607,1.0377198453286767,0.0,0.0,35.59841610422998,39.28442415495681,0.0,-0.0459359752469356,0.011807271916581692
2024-01-22,80.0,80.645,79.48,80.47,15068363.0,80.2273,1.0238953292265085,1.0332546290543059,0.0,0.0,37.60765609707715,40.41238103613367,0.0,-0.04019561068702293,0.011955520658577525
2024-01-23,80.34,81.29,80.22,80.64,12354612.0,80.7036,1.0181051587301588,1.0307829034391534,0.0,0.0,38.77335945147718,41.05432226397555,0.0,-0.048383290063724216,0.011411049300161834
2024-01-24,81.06,81.83,80.68,81.79,16920485.0,81.4254,1.000008733166821,1.016110363940172,0.0,0.0,46.10853239987041,45.18667654057806,0.0,-0.05027868091035759,0.011151278666386912
2024-01-25,82.37,83.66,81.88,83.63,18804724.0,82.7715,0.9771698467740558,0.9942723902905658,0.0,0.0,55.329832821837364,50.885656913138085,0.0,-0.011582555253516147,0.012374255908169218
2024-01-26,83.54,84.28,82.925,84.25,18234763.0,83.7177,0.9696142433234419,0.9881622156280913,0.0,0.0,57.941311229177785,52.603389040374246,0.0,-0.005077940481813981,0.01256303166085485
2024-01-29,84.12,84.25,83.25,84.13,14840315.0,83.7153,0.9713623473875467,0.9902848765798962,0.0,0.0,57.24376770360407,52.237589596217106,0.0,0.005137395459976046,0.012147855605964077
2024-01-30,83.3,85.02,82.98,85.0,17670559.0,84.2686,0.9636386554621849,0.9802470588235292,0.0,0.0,60.91734932537277,54.605129777275515,0.0,0.03205439533754251,0.011423799293299607
2024-01-31,85.0,85.16,83.37,83.41,19290372.0,84.0563,0.9836008015482898,0.9985773088758344,0.0,0.0,52.106032334285594,49.92625677925949,0.0,0.02280809319435928,0.012357533614691173
2024-02-01,83.91,84.3,82.63,83.4,25550688.0,83.4486,0.9851233299075025,0.9983852917665866,0.0,0.0,52.05503468863871,49.89843909929866,0.0,0.020058708414872894,0.012363561359763894
2024-02-02,84.1,84.18,82.82,83.52,19037512.0,83.6812,0.9844263136288998,0.9962843231162197,0.0,0.0,52.65387699429032,50.24259413862696,0.0,0.01015965166908539,0.012041538821075977
2024-02-05,83.01,83.805,82.405,83.31,15796807.0,83.1805,0.9891369583483374,0.9983595406713881,0.0,0.0,51.4429497229773,49.62547521946364,0.0,0.03221409986370971,0.009835098970458932
