date,open,high,low,close,volume,vwap,ma14,ma30,ma50,ma200,rsi14,rsi30,rsi50,roc14,vol14
2023-11-27,44.65,45.67,44.28,45.45,13262139.0,45.2613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-28,45.39,46.77,44.985,46.7,17917691.0,46.1616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-29,47.21,48.015,46.7,46.9,23347257.0,47.2502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-30,47.1726,47.28,45.85,46.11,21365319.0,46.2516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,46.55,48.45,46.07,48.43,24737354.0,47.7283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-04,48.35,48.9882,47.71,48.69,24898358.0,48.5069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-05,48.23,48.94,47.8799,48.26,17314047.0,48.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-06,48.76,49.345,47.99,48.04,20195975.0,48.6627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-07,47.83,48.385,47.5,48.29,13434312.0,48.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-08,48.06,49.695,47.78,49.18,19869098.0,48.9591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-11,48.6101,48.74,48.01,48.53,13698219.0,48.4189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-12,48.55,48.64,47.82,48.38,11432466.0,48.3533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-13,48.38,50.17,47.405,50.17,28900448.0,48.9433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-14,51.28,52.5,51.14,52.02,41229704.0,51.9489,0.9270472895040369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-15,51.962,52.17,50.8,51.11,18894831.0,51.298,0.951463230567124,0.0,0.0,0.0,72.33282842432845,0.0,0.0,0.12453245324532447,0.0219413680995453
