date,open,high,low,close,volume,vwap,ma14,ma30,ma50,ma200,rsi14,rsi30,rsi50,roc14,vol14
2023-11-27,104.1,104.4,103.18,103.96,18013518.0,103.7245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-28,104.24,104.91,103.88,103.9,20629512.0,104.2684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-29,104.27,104.58,101.64,102.34,26802092.0,102.9345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-30,103.11,104.4778,101.81,102.74,29254687.0,102.8751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,102.5,104.22,102.22,102.99,17845276.0,103.3008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-04,102.13,103.36,101.59,102.43,21523942.0,102.5555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-05,102.27,102.34,100.29,100.44,22250251.0,101.0219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-06,100.0,100.72,98.34,99.11,31154792.0,99.2788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-07,99.86,100.835,98.09,98.42,29990727.0,98.9693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-08,99.02,99.7867,98.75,99.55,22074945.0,99.3551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-11,99.8,99.86,98.58,99.62,22252250.0,99.3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-12,98.68,98.68,97.48,98.05,26083964.0,98.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-13,98.04,99.03,97.655,98.92,19915444.0,98.3469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-14,99.85,102.135,99.72,101.58,26165653.0,101.276,0.9943253733862121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-15,100.59,101.0,100.31,100.9,55527018.0,100.7926,0.998860257680872,0.0,0.0,0.0,45.43444745157683,0.0,0.0,-0.029434397845324978,0.012544586908374886
2023-12-18,102.13,103.11,101.52,101.65,21610428.0,102.367,0.9899093528213055,0.0,0.0,0.0,49.68090595306606,0.0,0.0,-0.021655437921077936,0.012797494426410204
2023-12-19,102.0,103.19,101.79,102.99,18904662.0,102.7672,0.9774804766066054,0.0,0.0,0.0,56.23435436267717,0.0,0.0,0.006351377760406507,0.012723341356650139
2023-12-20,103.5,103.94,101.125,101.27,20988863.0,102.3601,0.9930454654459789,0.0,0.0,0.0,47.655012204848795,0.0,0.0,-0.014307961845435035,0.013472238672023002
2023-12-21,101.47,102.005,100.805,101.73,19250933.0,101.4545,0.9876704441729507,0.0,0.0,0.0,49.85827166221804,0.0,0.0,-0.012234197494902288,0.013524606217447109
2023-12-22,102.31,102.94,101.82,101.91,12927831.0,102.3095,0.9855614898299622,0.0,0.0,0.0,50.7321550089757,0.0,0.0,-0.005076637703797848,0.013471326601154552
2023-12-26,102.74,103.03,102.115,102.14,16835144.0,102.5147,0.9845310358331704,0.0,0.0,0.0,51.88604715195571,0.0,0.0,0.016925527678215868,0.012295635377445333
2023-12-27,102.04,102.55,101.335,101.66,14558830.0,101.8662,0.9909713049099238,0.0,0.0,0.0,49.29144210275377,0.0,0.0,0.02572898799313883,0.01171853728362352
2023-12-28,101.39,101.61,100.13,100.19,16329252.0,100.7624,1.006772845878545,0.0,0.0,0.0,42.31304425014227,0.0,0.0,0.017984149563096796,0.01231011998864714
2023-12-29,100.37,100.59,99.62,99.98,17746408.0,99.9738,1.0091946960820737,0.0,0.0,0.0,41.411083907621425,0.0,0.0,0.0043194374686088555,0.011980467299981938
2024-01-02,100.92,103.1,100.85,102.36,23483049.0,102.1985,0.9876416568972255,0.0,0.0,0.0,53.507095505577716,0.0,0.0,0.027504517165227726,0.013521115940065855
2024-01-03,102.27,103.62,101.66,103.22,23490779.0,102.9693,0.9829905610762033,0.0,0.0,0.0,56.96457051769023,0.0,0.0,0.05272819989801114,0.012586182656135548
2024-01-04,104.08,104.57,102.05,102.32,19395154.0,102.8263,0.9940103875795822,0.0,0.0,0.0,52.559504927905415,0.0,0.0,0.034371209057824315,0.012909435466045048
2024-01-05,103.17,103.3987,102.125,102.63,15827392.0,102.7108,0.9917387007419163,0.0,0.0,0.0,53.882378440548,0.0,0.0,0.010336680448907343,0.010851854924069556
