timestamp,open,high,low,close,volume,vwap
2023-11-27 09:00:00,183.83,183.83,183.83,183.83,1724.0,183.8346
2023-11-27 13:00:00,184.05,184.05,184.05,184.05,1410.0,184.0567
2023-11-27 14:00:00,184.01,184.62,183.82,184.13,609303.0,184.1028
2023-11-27 15:00:00,184.2,184.64,184.03,184.55,505745.0,184.3501
2023-11-27 16:00:00,184.54,185.09,184.2,184.98,510195.0,184.6004
2023-11-27 17:00:00,184.985,185.34,184.9395,185.3,640081.0,185.2066
2023-11-27 18:00:00,185.31,185.465,184.96,185.03,412007.0,185.2203
2023-11-27 19:00:00,185.065,185.09,184.37,184.71,424207.0,184.7707
2023-11-27 20:00:00,184.71,184.85,184.33,184.37,1026642.0,184.5714
2023-11-27 21:00:00,184.28,184.4,184.17,184.39,13213.0,184.2849
2023-11-27 23:00:00,184.512,184.512,184.512,184.512,100.0,184.512
2023-11-28 12:00:00,184.18,184.18,183.76,183.76,18315.0,184.0293
2023-11-28 13:00:00,184.08,184.08,183.69,183.76,4400.0,183.7504
2023-11-28 14:00:00,183.88,184.45,183.77,184.05,477849.0,184.1318
2023-11-28 15:00:00,184.03,185.08,184.0,184.58,612661.0,184.4857
2023-11-28 16:00:00,184.59,185.24,184.505,184.98,533943.0,184.9561
2023-11-28 17:00:00,184.98,185.05,184.35,184.515,635384.0,184.7595
2023-11-28 18:00:00,184.52,184.54,183.83,184.08,734815.0,184.1668
2023-11-28 19:00:00,184.085,184.4396,183.95,184.37,707990.0,184.1592
2023-11-28 20:00:00,184.38,184.775,183.98,184.74,1570456.0,184.3894
2023-11-28 21:00:00,184.75,184.87,184.52,184.66,128715.0,184.7518
2023-11-28 22:00:00,184.66,184.66,184.66,184.66,374.0,184.6597
2023-11-28 23:00:00,184.67,184.67,184.67,184.67,608.0,184.6691
2023-11-29 09:00:00,185.2,185.2,185.2,185.2,354.0,185.1695
2023-11-29 12:00:00,185.58,185.78,185.57,185.77,7337.0,185.6735
2023-11-29 13:00:00,185.84,186.14,185.6,185.9,18533.0,185.9208
2023-11-29 14:00:00,185.93,186.9,185.87,186.61,522828.0,186.6204
2023-11-29 15:00:00,186.63,186.76,185.625,186.17,762435.0,186.034
2023-11-29 16:00:00,186.1715,186.175,185.1,185.4147,1018239.0,185.4405
2023-11-29 17:00:00,185.42,185.65,185.19,185.5609,356068.0,185.4668
2023-11-29 18:00:00,185.57,185.665,185.19,185.35,468818.0,185.4038
2023-11-29 19:00:00,185.35,185.43,184.99,185.33,549268.0,185.258
2023-11-29 20:00:00,185.33,185.34,184.775,184.92,1582647.0,184.9579
2023-11-29 21:00:00,184.89,185.49,184.76,185.36,18307.0,185.3457
2023-11-29 22:00:00,185.36,185.37,185.36,185.37,1605.0,185.3683
2023-11-29 23:00:00,185.38,185.38,185.28,185.28,250.0,185.32
2023-11-30 00:00:00,185.4698,185.74,185.43,185.72,1800.0,185.5822
2023-11-30 11:00:00,185.64,185.74,185.64,185.74,1659.0,185.6896
2023-11-30 12:00:00,185.86,186.03,185.82,186.03,1211.0,185.9092
2023-11-30 13:00:00,186.09,186.19,185.8,185.8,5733.0,185.961
