timestamp,open,high,low,close,volume,vwap
2023-11-27 09:00:00,104.2,104.2,104.02,104.02,1549.0,104.131
2023-11-27 10:00:00,103.93,103.93,103.92,103.92,337.0,103.9347
2023-11-27 11:00:00,103.88,103.98,103.85,103.98,2484.0,103.9532
2023-11-27 12:00:00,104.13,104.13,104.13,104.13,428.0,104.1358
2023-11-27 13:00:00,104.01,104.57,104.0,104.05,14306.0,104.3447
2023-11-27 14:00:00,104.21,104.4,103.38,103.75,2511308.0,103.7543
2023-11-27 15:00:00,103.75,104.075,103.43,103.695,2683594.0,103.7285
2023-11-27 16:00:00,103.685,103.935,103.5,103.64,1626559.0,103.728
2023-11-27 17:00:00,103.64,103.66,103.18,103.255,1385428.0,103.4384
2023-11-27 18:00:00,103.255,103.61,103.21,103.53,1324846.0,103.4572
2023-11-27 19:00:00,103.53,103.67,103.49,103.5799,1206001.0,103.5818
2023-11-27 20:00:00,103.58,104.165,103.495,103.95,4204554.0,103.7501
2023-11-27 21:00:00,103.96,104.06,103.88,103.97,202388.0,103.9589
2023-11-27 23:00:00,103.9009,103.9009,103.9,103.9,901.0,103.9001
2023-11-28 00:00:00,104.0,104.0,103.91,103.91,565.0,103.9678
2023-11-28 12:00:00,104.25,104.4,104.24,104.36,2276.0,104.2899
2023-11-28 13:00:00,104.35,104.4,103.6,103.9,25748.0,104.0062
2023-11-28 14:00:00,104.04,104.51,103.98,104.48,1527631.0,104.2689
2023-11-28 15:00:00,104.49,104.635,103.96,104.605,2482487.0,104.2736
2023-11-28 16:00:00,104.605,104.91,104.54,104.725,2211452.0,104.7305
2023-11-28 17:00:00,104.73,104.9,104.63,104.685,1804105.0,104.7597
2023-11-28 18:00:00,104.685,104.685,104.3,104.3,1502783.0,104.4611
2023-11-28 19:00:00,104.3,104.38,104.12,104.295,1770777.0,104.2598
2023-11-28 20:00:00,104.2901,104.33,103.88,103.9,5312760.0,104.1268
2023-11-28 21:00:00,103.9,103.96,103.8497,103.9,1039709.0,103.93
2023-11-28 22:00:00,103.9,103.9,103.8578,103.9,4158.0,103.8973
2023-11-28 23:00:00,103.8692,103.9,103.86,103.9,8237.0,103.899
2023-11-29 00:00:00,103.91,103.98,103.91,103.98,399.0,103.9602
2023-11-29 09:00:00,104.09,104.1,104.08,104.1,4865.0,104.0905
2023-11-29 10:00:00,104.11,104.18,104.0,104.18,5576.0,104.1334
