date,open,high,low,close,volume,vwap
2023-11-27,189.92,190.67,188.9,189.79,40552609.0,189.7965
2023-11-28,189.78,191.08,189.4,190.4,38415419.0,190.165
2023-11-29,190.9,192.09,188.97,189.37,43014224.0,189.9974
2023-11-30,189.84,190.32,188.19,189.95,48794366.0,189.3364
2023-12-01,190.33,191.56,189.23,191.24,45704823.0,190.861
2023-12-04,189.98,190.05,187.4511,189.43,43389519.0,188.916
2023-12-05,190.21,194.4,190.18,193.42,66628398.0,193.1715
2023-12-06,194.45,194.76,192.11,192.32,41089737.0,192.8013
2023-12-07,193.63,195.0,193.59,194.27,47477655.0,194.3971
2023-12-08,194.2,195.99,193.67,195.71,53406358.0,195.1641
2023-12-11,193.11,193.49,191.42,193.18,60943699.0,192.7089
2023-12-12,193.08,194.72,191.721,194.71,52696900.0,193.7834
2023-12-13,195.09,198.0,194.85,197.96,70404183.0,196.9085
2023-12-14,198.02,199.62,196.16,198.11,66831572.0,198.2872
2023-12-15,197.53,198.3999,197.0,197.57,128538401.0,197.5605
2023-12-18,196.09,196.63,194.39,195.89,55751861.0,195.6255
2023-12-19,196.16,196.95,195.89,196.94,40714051.0,196.5277
2023-12-20,196.9,197.68,194.83,194.83,52242815.0,196.142
2023-12-21,196.1,197.08,193.5,194.68,46482549.0,194.7425
2023-12-22,195.18,195.41,192.97,193.6,37149570.0,194.1013
2023-12-26,193.61,193.89,192.83,193.05,28919310.0,193.1713
2023-12-27,192.49,193.5,191.09,193.15,48087681.0,192.5679
2023-12-28,194.14,194.66,193.17,193.58,34049898.0,193.9222
2023-12-29,193.9,194.4,191.725,192.53,42672148.0,192.5761
2024-01-02,187.15,188.44,183.885,185.64,82488674.0,185.9374
2024-01-03,184.22,185.88,183.43,184.25,58414460.0,184.3226
2024-01-04,182.15,183.0872,180.88,181.91,71983570.0,182.0175
2024-01-05,181.99,182.76,180.17,181.18,62379661.0,181.474
2024-01-08,182.085,185.6,181.5,185.56,59144470.0,184.3702
2024-01-09,183.92,185.15,182.73,185.14,42841809.0,184.3706
2024-01-10,184.35,186.4,183.92,186.19,46792908.0,185.2403
2024-01-11,186.54,187.05,183.62,185.59,49128408.0,185.0604
2024-01-12,186.06,186.74,185.19,185.92,40477782.0,185.8199
2024-01-16,182.16,184.26,180.934,183.63,65603041.0,182.8825
2024-01-17,181.27,182.93,180.3,182.68,47317433.0,181.9201
2024-01-18,186.09,189.14,185.83,188.63,78005754.0,187.9375
2024-01-19,189.33,191.95,188.82,191.56,68902985.0,190.6151
2024-01-22,192.3,195.33,192.26,193.89,60133852.0,193.9891
2024-01-23,195.02,195.75,193.8299,195.18,42355590.0,194.8203
2024-01-24,195.42,196.38,194.34,194.5,53631316.0,195.2063
2024-01-25,195.22,196.2675,193.1125,194.17,54822126.0,194.7337
2024-01-26,194.27,194.76,191.94,192.42,44594011.0,193.1206
2024-01-29,192.01,192.2,189.58,191.73,47145622.0,191.2954
2024-01-30,190.94,191.8,187.47,188.04,55859370.0,188.7925
2024-01-31,187.04,187.095,184.35,184.4,55467803.0,185.3525
2024-02-01,183.985,186.95,183.82,186.86,64885408.0,185.5688
2024-02-02,179.86,187.33,179.25,185.85,102551680.0,184.7435
2024-02-05,188.15,189.25,185.84,187.68,69668820.0,187.6826
2024-02-06,186.86,189.31,186.7695,189.3,43490759.0,188.4788
2024-02-07,190.64,191.05,188.61,189.41,53438955.0,189.3803
2024-02-08,189.385,189.535,187.35,188.32,40962046.0,188.3032
2024-02-09,188.65,189.99,188.0,188.85,45155216.0,189.0056
2024-02-12,188.415,188.67,186.79,187.15,41781934.0,187.5914
2024-02-13,185.77,186.21,183.5128,185.04,56529529.0,185.0421
2024-02-14,185.32,185.53,182.44,184.15,54630517.0,183.6206
2024-02-15,183.55,184.49,181.35,183.86,65434496.0,182.8487
2024-02-16,183.42,184.85,181.665,182.31,49752465.0,182.7317
2024-02-20,181.79,182.43,180.0,181.56,53665553.0,181.1
