timestamp,open,high,low,close,volume,vwap,date,year,month,day,weekday,is_month_start,is_month_end,high_low_range,average_price,volume_change,close_lag_1,close_lag_2,return,return_lag_1,rolling_mean_7,rolling_std_7,rolling_mean_30,rolling_std_30,ma14,ma30,ma50,ma200,rsi14,rsi30,rsi50,roc14,vol14,up_day,down_day
2023-12-14 00:00:00,98.93,99.01,98.91,99.01,12722.0,98.9469,2023-12-14 00:00:00,2023,12,14,3,0,0,0.10000000000000853,98.965,0.5994468192104601,98.93,98.9,0.0008086525826340729,0.00030333670374127486,98.75425714285714,0.34757185759226533,98.39313333333334,0.566068569827389,0.9941917843796442,0.9937696528970138,0.9982027067972931,1.021819184930815,58.983581041420116,51.158203449607804,47.91110509552395,0.009893920848633275,0.0028478152096427026,1,0
2023-12-14 09:00:00,99.2,99.48,99.2,99.3,5387.0,99.4385,2023-12-14 09:00:00,2023,12,14,3,0,0,0.28000000000000114,99.295,-0.5765602892626945,99.01,98.93,0.0029289970710029145,0.0008086525826340729,98.93568571428571,0.21123042259166416,98.3878,0.5563403969160226,0.9921442957847791,0.9908136958710977,0.995237160120846,1.0185973564954682,63.18393704243805,53.45956856244684,49.375824368488786,0.012129242686780062,0.002909088740673772,1,0
2023-12-14 10:00:00,99.33,99.33,99.29,99.31,1773.0,99.3081,2023-12-14 10:00:00,2023,12,14,3,0,0,0.03999999999999204,99.315,-0.6708743270837201,99.3,99.01,0.00010070493454183982,0.0029289970710029145,99.03857142857143,0.18889402420575482,98.37546666666665,0.5301929754944549,0.9929218752247652,0.99058973584399,0.9950728023361192,1.0182626875440541,63.32341447451148,53.53766301848527,49.42586394796723,0.012437557345295058,0.002901606463344625,0,1
2023-12-14 11:00:00,99.48,99.48,99.33,99.34,785.0,99.3612,2023-12-14 11:00:00,2023,12,14,3,0,0,0.15000000000000568,99.4075,-0.5572476029328821,99.31,99.3,0.00030208438223744416,0.00010070493454183982,99.09142857142857,0.21628904822170072,98.37146666666668,0.5221198550024716,0.993377002502229,0.9902503187705524,0.9947199516810953,1.017721637809543,63.76689856728577,53.77836497189367,49.57843326509583,0.010682673720622704,0.0028856618194714853,0,1
2023-12-14 12:00:00,99.31,99.7,99.31,99.67,16948.0,99.5095,2023-12-14 12:00:00,2023,12,14,3,0,0,0.39000000000000057,99.4975,20.589808917197452,99.34,99.31,0.0033219247030400467,0.00030208438223744416,99.20857142857143,0.2772140311155327,98.38913333333333,0.5568336328850318,0.9913743926385644,0.9871489247851243,0.9914425604494833,1.0141282983846696,68.30667368429354,56.35150701125483,51.22986011227624,0.018339719029374146,0.0025702424460834583,1,0
2023-12-14 13:00:00,99.21,100.279,99.0,100.23,92145.0,99.7892,2023-12-14 13:00:00,2023,12,14,3,0,0,1.2789999999999964,99.67975,4.43692471088034,99.67,99.34,0.005618541185913539,0.0033219247030400467,99.39857142857143,0.4390303167747513,98.45846666666668,0.6480538277623781,0.9871467054346432,0.982325318434268,0.9860249426319465,1.0082716502045295,74.21157251901583,60.237397863479025,53.84736509011679,0.01870108750889332,0.0026139154786490345,1,0
2023-12-14 14:00:00,100.2,100.61,99.72,100.54,3203437.0,100.2426,2023-12-14 14:00:00,2023,12,14,3,0,0,0.8900000000000006,100.2675,33.76517445330729,100.23,99.67,0.0030928863613688407,0.005618541185913539,99.62857142857145,0.5581943679227603,98.53013333333334,0.7509361777060864,0.9858192901190712,0.9800092832040316,0.9831617266759497,1.0050031579470857,76.78958969945415,62.16624459525347,55.20538735886023,0.024619818556482542,0.002374687389750471,1,0
2023-12-14 15:00:00,100.53,101.31,100.48,101.035,4210472.0,100.9627,2023-12-14 15:00:00,2023,12,14,3,0,0,0.8299999999999983,100.83875,0.3143607943593085,100.54,100.23,0.004923413566739532,0.0030928863613688407,99.91785714285716,0.6927112021063055,98.62696666666666,0.8746664122069705,0.9831846107077463,0.9761663449959584,0.9786388875142278,0.9999477161379721,80.19429442657207,64.97292855088105,57.254735892045446,0.031706320841417224,0.0022564226659476452,1,0
2023-12-14 16:00:00,101.03,102.135,100.97,101.93,3336405.0,101.525,2023-12-14 16:00:00,2023,12,14,3,0,0,1.1650000000000063,101.51625,-0.20759359045731685,101.035,100.54,0.008858316425001345,0.004923413566739532,100.29357142857144,0.9624565543687682,98.77413333333334,1.037404206573047,0.9772846911746157,0.9690388828934889,0.9705501814971058,0.9910837584616893,84.59451566134814,69.2409627564044,60.58192306697666,0.03978373967152926,0.002831219677852807,1,0
2023-12-14 17:00:00,101.93,102.09,101.515,101.7183,2116088.0,101.7878,2023-12-14 17:00:00,2023,12,14,3,0,0,0.5750000000000028,101.813325,-0.3657580539532821,101.93,101.035,-0.0020769155302658993,0.008858316425001345,100.6376142857143,0.9824981805386256,98.90857666666668,1.146955081248469,0.9815155469285551,0.9723774057044472,0.9729964617969432,0.9930709026792623,80.06344363603878,67.23626581347264,59.46474970755135,0.03173249159649383,0.0029755030476629855,0,1
2023-12-14 18:00:00,101.71,101.945,101.47,101.5089,1837223.0,101.7083,2023-12-14 18:00:00,2023,12,14,3,0,0,0.4749999999999943,101.658475,-0.1317832717731966,101.7183,101.93,-0.0020586266188090674,-0.0020769155302658993,100.94745714285715,0.8361752046413283,99.02404,1.2284786797580545,0.9853268320033304,0.9755207671445558,0.9753502008198296,0.9950199292869886,75.74193244979121,65.30167540511397,58.378179466049666,0.02565322825098515,0.00314324046950679,0,1
2023-12-14 19:00:00,101.5,101.65,101.32,101.4811,1992688.0,101.4762,2023-12-14 19:00:00,2023,12,14,3,0,0,0.3300000000000125,101.487775,0.08461955897569329,101.5089,101.7183,-0.0002738676116084138,-0.0020586266188090674,101.2061857142857,0.6297391614219437,99.13874333333334,1.2924147355808626,0.9874486832664267,0.9769182964446911,0.9760846896614246,0.9951890992509937,75.16190048118088,65.04464272027937,58.23402865505857,0.026617096611026847,0.0030831221535918664,0,1
2023-12-14 20:00:00,101.485,101.6,101.195,101.59,5802699.0,101.3882,2023-12-14 20:00:00,2023,12,14,3,0,0,0.40500000000000114,101.4675,1.911995756485712,101.4811,101.5089,0.001073106223720588,-0.0002738676116084138,101.40047142857144,0.46718567941181477,99.25707666666668,1.3495986454939077,0.9882815378341514,0.9770358959215146,0.9754970764839059,0.9940061472585884,75.93920863539073,65.59343959341837,58.642235801553134,0.027199191102123432,0.0030673240940279744,1,0
2023-12-14 21:00:00,101.31,101.68,101.31,101.56,539261.0,101.5706,2023-12-14 21:00:00,2023,12,14,3,0,0,0.37000000000000455,101.465,-0.9070672113097715,101.59,101.4811,-0.0002953046559700523,0.001073106223720588,101.54618571428571,0.27263665337180515,99.37907666666666,1.3875848208140285,0.9904231840432116,0.978525764736773,0.976263765261914,0.99418111953525,75.24064586880715,65.30126924581847,58.481562290993786,0.026584453654098894,0.0030956820805866513,1,0
2023-12-14 22:00:00,101.55,101.58,101.42,101.5,6284.0,101.5267,2023-12-14 22:00:00,2023,12,14,3,0,0,0.1599999999999966,101.5125,-0.9883470156380677,101.56,101.59,-0.0005907837731390364,-0.0002953046559700523,101.61261428571429,0.161202496140046,99.49607666666667,1.4141461322046551,0.9927609429978889,0.9802569129720854,0.977319684729064,0.9946505862068965,73.77885264909716,64.70496678272325,58.15637392261028,0.025148974851025185,0.003154972878497872,0,1
2023-12-14 23:00:00,101.5,101.6,101.5,101.6,3686.0,101.5643,2023-12-14 23:00:00,2023,12,14,3,0,0,0.09999999999999432,101.55000000000001,-0.413430935709739,101.5,101.56,0.0009852216748766907,-0.0005907837731390364,101.56547142857143,0.08143070089033867,99.61474333333334,1.4369309969953188,0.9934008014623174,0.9804600721784777,0.976781968503937,0.9935579183070867,74.66240493023382,65.25204104934949,58.5483687506501,0.023162134944612278,0.0031432827735186106,1,0
